Site,Site,Latitude,Longitude,Year,count
C1064.1,C1064.1,25.31991667,-80.20671667,2006,56
C1064.2,C1064.2,25.31991383,-80.20671083,2006,41
C1065,C1065,25.3091,-80.21265,2006,62
C1066,C1066,25.29116667,-80.2126,2006,140
C1067,C1067,25.28768333,-80.22318333,2006,103
C1068,C1068,25.27705,-80.22656667,2006,73
C1069.1,C1069.1,25.07315,-80.37843333,2006,124
C1069.2,C1069.2,25.07333283,-80.37913517,2006,44
C1070.1,C1070.1,25.06246667,-80.39486667,2006,76
C1070.2,C1070.2,25.06253433,-80.394989,2006,30
C1071.1,C1071.1,25.06015,-80.387,2006,73
C1071.2,C1071.2,25.06073383,-80.38706217,2006,36
C1075,C1075,25.50046667,-80.10258333,2006,89
C1076,C1076,25.6207,-80.09583333,2006,39
C1078,C1078,25.48778333,-80.10896667,2006,44
C1079,C1079,25.44596667,-80.11976667,2006,54
C1080,C1080,25.64338333,-80.09713333,2006,43
C1081,C1081,25.46916667,-80.12166667,2006,70
C1082,C1082,25.57425,-80.11346667,2006,51
C1083,C1083,25.49815,-80.12298333,2006,66
C1084,C1084,25.4027,-80.1314,2006,48
C1085,C1085,25.36311667,-80.1413,2006,27
C1086,C1086,25.58751667,-80.11298333,2006,23
C1088,C1088,25.50431667,-80.13186667,2006,104
C1089,C1089,25.49125,-80.1314,2006,99
C1093,C1093,25.3937,-80.16113333,2006,66
C1094,C1094,25.3901,-80.14923333,2006,34
C1095,C1095,25.3667,-80.1869,2006,70
C1096,C1096,25.34691667,-80.1869,2006,71
C1097,C1097,25.4279,-80.19085,2006,65
C1098,C1098,25.4135,-80.19283333,2006,129
C1099,C1099,25.77768333,-80.08635,2006,12
C1101,C1101,26.2048,-80.0729,2006,21
C1102,C1102,25.96726667,-80.08963333,2006,17
C1103,C1103,25.8445,-80.09363333,2006,30
C1104,C1104,26.3714,-80.0547,2006,26
C1105,C1105,25.78338333,-80.09615,2006,20
C1108,C1108,26.2823,-80.0704,2006,52
C1111,C1111,26.0576,-80.0946,2006,39
C1113,C1113,25.11115,-80.28399999999999,2006,70
C1114,C1114,25.8377,-80.09853333,2006,38
C1115,C1115,25.8541,-80.10173333,2006,13
C1116,C1116,25.8541,-80.10965,2006,28
C1117,C1117,25.87041667,-80.11308333,2006,33
C1118,C1118,26.2445,-80.0801,2006,14
C1119,C1119,26.1399,-80.0899,2006,47
C1121,C1121,26.1603,-80.0969,2006,15
C1122,C1122,26.038,-80.1054,2006,31
C1123,C1123,26.0848,-80.1056,2006,7
C1125,C1125,26.6486,-80.0203,2006,31
C1130,C1130,26.43491667,-80.04905,2006,51
C2141,C2141,24.70471667,-80.9358,2006,82
C2142,C2142,24.9041462,-80.61696620000001,2006,84
C2168,C2168,25.5429,-80.10213333,2006,35
C2173,C2173,25.70158333,-80.102,2006,43
C2174,C2174,25.59171667,-80.10591667,2006,40
C2175,C2175,25.4225,-80.12766667,2006,70
C2178,C2178,25.32891667,-80.17301667,2006,21
C2179,C2179,25.46096667,-80.14236667,2006,65
C2181,C2181,25.4045,-80.16508333,2006,69
C2190,C2190,25.92738333,-80.08708333,2006,25
C2202,C2202,26.0901,-80.0892,2006,30
C2203,C2203,26.0269,-80.0956,2006,16
C2208,C2208,26.144000000000002,-80.0935,2006,18
C2209,C2209,26.1115,-80.0947,2006,24
C2210,C2210,25.98508333,-80.09921667,2006,14
C2211,C2211,26.0686,-80.1041,2006,22
C2212,C2212,26.00601667,-80.10645,2006,15
C2213,C2213,25.94783333,-80.10838333,2006,31
C2220,C2220,26.4807,-80.04228333,2006,29
C2226,C2226,24.69765,-80.95786667,2006,91
C2240,C2240,24.5334,-81.87136667,2006,8
C2268,C2268,24.53696667,-81.43748333,2006,133
C4101,C4101,27.13195,-80.13366667,2006,15
C4102,C4102,27.11188333,-80.12556667,2006,17
C4103,C4103,27.10836667,-80.12296667,2006,37
C4104,C4104,27.10645,-80.12233333,2006,11
C4105,C4105,27.1038,-80.12088333,2006,15
C4106,C4106,27.12121667,-80.12748333,2006,16
C4107,C4107,24.56305,-81.40093333,2006,150
C4108,C4108,24.55301667,-81.3794,2006,32
C4109,C4109,25.20736667,-80.28776667,2006,53
C4110,C4110,25.11163333,-80.34218333,2006,36
D1002,D1002,26.68395,-80.0315,2007,22
D1003,D1003,26.69083,-80.03132,2007,14
D1005,D1005,26.52228,-80.0332,2007,25
D1009,D1009,26.62032,-80.02265,2007,37
D1010,D1010,26.65418,-80.01997,2007,24
D1012,D1012,26.03441,-80.1096,2007,11
D1013,D1013,26.08119,-80.1057,2007,7
D1014,D1014,26.12239,-80.09624000000001,2007,33
D1015,D1015,26.13855,-80.09366,2007,27
D1016,D1016,25.9607,-80.0988,2007,9
D1017,D1017,26.22652,-80.08053000000001,2007,30
D1018,D1018,25.92073,-80.1094,2007,15
D1019,D1019,25.929779999999997,-80.109,2007,39
D1020,D1020,25.86311,-80.10934,2007,24
D1021,D1021,25.87162,-80.0993,2007,14
D1022,D1022,26.11136,-80.08861,2007,9
D1023,D1023,26.12216,-80.08823000000001,2007,9
D1024,D1024,26.260720000000003,-80.07155999999999,2007,26
D1025,D1025,26.260540000000002,-80.0706,2007,17
D1026,D1026,25.89725,-80.09645,2007,20
D1027,D1027,25.76902,-80.09864,2007,25
D1028,D1028,25.807,-80.096,2007,45
D1029,D1029,25.835,-80.092,2007,15
D1030,D1030,26.375429999999998,-80.05516999999999,2007,21
D1031,D1031,25.83906,-80.08819,2007,21
D1032,D1032,26.09852,-80.08105,2007,17
D1033,D1033,26.2082,-80.07127,2007,19
D1034,D1034,25.78856,-80.08797,2007,10
D1036,D1036,25.44006,-80.18970999999999,2007,80
D1038,D1038,25.34151,-80.18887,2007,100
D1039,D1039,25.36198,-80.18458000000001,2007,68
D1040,D1040,25.38488,-80.16108,2007,55
D1043,D1043,25.4531,-80.15122,2007,109
